"gene_id","symbol","global","adjP","call"
"ENSG00000254317","AC022973.5",9.22410846737402e-14,4.38516161210841e-13,"Hit"
"ENSG00000254369","HOXA-AS3",5.26813765807523e-09,2.03872021069343e-08,"Hit"
"ENSG00000254402","LRRC24",0.000890575472998941,0.00263359992537906,"Hit"
"ENSG00000254458","AP001107.3",0.00181141657515102,0.00524415549744896,"Hit"
"ENSG00000254470","AP5B1",1.82488321618038e-22,1.25858257912606e-21,"Hit"
"ENSG00000254536","AL360181.3",8.35560968363166e-14,3.9779642664966e-13,"Hit"
"ENSG00000254635","WAC-AS1",7.89555095357399e-06,2.61845968399235e-05,"Hit"
"ENSG00000254662","AP000781.1",1.52841617722694e-27,1.32658941962053e-26,"Hit"
"ENSG00000254673","AC110275.1",6.30923898110501e-14,3.02429526790747e-13,"Hit"
"ENSG00000254685","FPGT",1.99042667157633e-27,1.72029271705885e-26,"Hit"
"ENSG00000254698","AP000893.2",0.0010787775675325,0.00316900592410906,"Hit"
"ENSG00000254706","AL512785.2",2.46007868799264e-06,8.36187789218768e-06,"Hit"
"ENSG00000254733","AP001831.1",5.40030586430722e-12,2.38643626047501e-11,"Hit"
"ENSG00000254765","",0.00299575218611539,0.0085353582212934,"Hit"
"ENSG00000254829","AP003032.2",0.0138508953515605,0.0376367335219577,"Hit"
"ENSG00000254837","AP001372.2",3.23115118614241e-19,1.93099403694992e-18,"Hit"
"ENSG00000254858","MPV17L2",9.19864923103316e-07,3.19442253395268e-06,"Hit"
"ENSG00000254870","ATP6V1G2-DDX39B",0.00274868997283901,0.00785331554981529,"Hit"
"ENSG00000254893","RAP1BL",0.000620852824795071,0.00185349798188147,"Hit"
"ENSG00000254959","INMT-MINDY4",2.5706121865682e-16,1.35291629704323e-15,"Hit"
"ENSG00000254986","DPP3",9.59218969021474e-21,6.13061025286159e-20,"Hit"
"ENSG00000254995","STX16-NPEPL1",8.39159940013685e-11,3.52163791142874e-10,"Hit"
"ENSG00000255031","AP002807.1",0.00515158986614627,0.0144424816466681,"Hit"
"ENSG00000255114","AP003392.3",4.1285769908596e-15,2.07317553804608e-14,"Hit"
"ENSG00000255139","AP000442.1",1.4563770818343e-10,6.04886648669395e-10,"Hit"
"ENSG00000255241","AP005436.3",8.21526383585992e-20,5.04448687256658e-19,"Hit"
"ENSG00000255245","FXYD6-FXYD2",0.00433450321131097,0.0122161698178894,"Hit"
"ENSG00000255282","WTAPP1",1.80751472019038e-22,1.24692727545378e-21,"Hit"
"ENSG00000255326","AP001922.5",2.07434424804052e-11,8.94375987879207e-11,"Hit"
"ENSG00000255330","AL096711.2",0.000478589915917661,0.00143668813905794,"Hit"
"ENSG00000255389","",0.0112692894196815,0.030836041035807,"Hit"
"ENSG00000255422","AP002954.1",1.58097364477201e-13,7.44148904585252e-13,"Hit"
"ENSG00000255432","AP001458.2",9.21804116715175e-38,1.301883095057e-36,"Hit"
"ENSG00000255455","AP003486.1",1.21570653158808e-13,5.74764435574285e-13,"Hit"
"ENSG00000255507","UVRAG-DT",4.47333797059187e-07,1.57526416829873e-06,"Hit"
"ENSG00000255508","AP002990.1",0.00128312620741573,0.00375189206817084,"Hit"
"ENSG00000255529","POLR2M",1.22671846631443e-06,4.22965783653132e-06,"Hit"
"ENSG00000255644","AC010185.1",0.000113311138195409,0.000354021170795521,"Hit"
"ENSG00000255723","AC108516.2",5.72209480271276e-11,2.41852176070157e-10,"Hit"
"ENSG00000255730","AC011462.1",2.77347871375942e-08,1.03855101258403e-07,"Hit"
"ENSG00000255835","AL117348.2",9.46250607883392e-12,4.13367364369464e-11,"Hit"
"ENSG00000255837","TAS2R20",1.26556248641281e-09,5.03687051237091e-09,"Hit"
"ENSG00000255857","PXN-AS1",3.23495380441794e-06,1.09342096434533e-05,"Hit"
"ENSG00000255872","AL138752.2",1.6327183396715e-37,2.27570815121718e-36,"Hit"
"ENSG00000255874","LINC00346",4.09154203283343e-18,2.32849280593135e-17,"Hit"
"ENSG00000255920","CCND2-AS1",0.000264150985008262,0.000806247135924448,"Hit"
"ENSG00000255968","AC024145.1",1.62224395416038e-21,1.07131749979988e-20,"Hit"
"ENSG00000256087","ZNF432",2.2902107770302e-11,9.85053621289684e-11,"Hit"
"ENSG00000256150","ITFG2-AS1",4.33015689077034e-11,1.84132063244558e-10,"Hit"
